condition,param_str,APSC_minProb_mean,AMPC_minProb_mean,CDBF_minProb_mean,APSC_meanVx,AMPC_meanVx,CDBF_meanVx
normal,prior0p50p05mesvar0p3emax5,0.7345,0,0,7.6243966903367,6.54152544724109,6.15964335973475
dry,prior0p50p05mesvar0p3emax5,0.6965,0.2415,0.0855,6.43448226331133,7.30848396750807,13.1143568675947
icy,prior0p50p05mesvar0p3emax10,0.4845,0.0555,0.1335,4.9768289288235,5.27546621068723,11.9437695768526
normal,prior0p50p05mesvar0p3emax10,0.581,0.0115,0,7.94857200295596,8.14434149049464,22.0459455630675
dry,prior0p50p05mesvar0p3emax10,0.7045,0.4255,0.717,6.23871537345814,6.85217319529219,10.5690711368586
icy,prior0p50p3mesvar0p05emax3,0.479,0,0,5.75305518635678,6.51578625600187,14.1400710118378
normal,prior0p50p3mesvar0p05emax3,0.622,0,0,6.35513159531027,8.90168575729818,18.266364096553
dry,prior0p50p3mesvar0p05emax3,0.3785,0.0995,0,10.0396118007427,8.16857171667538,15.6126480716886
icy,prior0p50p3mesvar0p05emax5,0.3835,0,0,6.2645230711146,4.99963100826117,12.4829004301703
normal,prior0p50p3mesvar0p05emax5,0.534,0,0,7.73891533018546,7.31261995981631,14.1249084028249
dry,prior0p50p3mesvar0p05emax5,0.332,0.1,0.09,5.86484945718246,7.69454923700305,17.7808863841054
icy,prior0p50p3mesvar0p05emax10,0.2325,0,0.104,51.0849942316525,4.2005385495495,14.7178534497448
normal,prior0p50p3mesvar0p05emax10,0.436,0,0,19.9417527325463,9.56256806970185,14.4580197877204
dry,prior0p50p3mesvar0p05emax10,0.247,0.0635,0.1035,4.2872700438172,6.53327615446916,33.0869851416052
icy,prior0p50p3mesvar0p3emax3,0.381,0,0,5.84637631986479,3.11956254656195,12.1573630367848
normal,prior0p50p3mesvar0p3emax3,0.806,0,0,6.92847075634235,10.0649022390005,11.8459277879599
dry,prior0p50p3mesvar0p3emax3,0.6605,0.0195,0.024,6.83319560341153,8.32034010578682,19.9886328333788
icy,prior0p50p3mesvar0p3emax5,0.4745,0,0,6.40238089266136,6.10426893904806,12.7258893835407
normal,prior0p50p3mesvar0p3emax5,0.39,0,0,5.9020426665408,9.63004888699851,19.9265138673082
dry,prior0p50p3mesvar0p3emax5,0.67,0,0.0955,6.69479450279827,7.92800087321545,16.6470894758582
icy,prior0p50p3mesvar0p3emax10,0.209,0.0945,0.0745,6.54724949605239,6.73545373533543,20.6569342343461
normal,prior0p50p3mesvar0p3emax10,0.5495,0,0,7.23989203565498,6.40963815974394,25.1430541018841
dry,prior0p50p3mesvar0p3emax10,0.79,0.267,0.5255,7.14837003702188,8.26279032787503,14.4579977699177
icy,prior0p90p05mesvar0p05emax3,0.4735,0,0,5.50878939383764,1.72580369929946,8.06059244015037
normal,prior0p90p05mesvar0p05emax3,0.659,0,0,7.20339246587801,7.43021782676528,15.6557735227694
dry,prior0p90p05mesvar0p05emax3,0.358,0,0,5.52034326689995,7.98985325888851,18.6336609352151
icy,prior0p90p05mesvar0p05emax5,0.3065,0,0,8.76873112012366,3.70466662720631,11.9345300880436
normal,prior0p90p05mesvar0p05emax5,0.409,0,0,7.97118713502258,8.73365830125201,19.1497626006786
dry,prior0p90p05mesvar0p05emax5,0.3145,0.1,0,5.54583889118557,9.19393941218049,20.3492521612289
icy,prior0p90p05mesvar0p05emax10,0.4105,0.043,0.0955,5.72318695660257,7.52832190062746,13.1884809502818
normal,prior0p90p05mesvar0p05emax10,0.491,0,0,7.2347705523582,5.17187908343209,13.9499137038448
dry,prior0p90p05mesvar0p05emax10,0.173,0.1245,0.35,6.02424406690498,7.41837515135964,26.1587225526768
icy,prior0p90p05mesvar0p3emax3,0.3965,0,0.009,5.13464385850734,6.81071179070681,5.09934819862455
normal,prior0p90p05mesvar0p3emax3,0.676,0,0,6.28091644655139,10.1752015735539,11.9890825683532
dry,prior0p90p05mesvar0p3emax3,0.6725,0.0415,0,6.07486853885106,4.74387727171052,23.771267477673
icy,prior0p90p05mesvar0p3emax5,0.4025,0.009,0.035,4.7503595161256,6.34414248775222,17.4907802869494
normal,prior0p90p05mesvar0p3emax5,0.5115,0,0,5.87730207719615,8.56752621847663,22.6751037052666
dry,prior0p90p05mesvar0p3emax5,0.5865,0.013,0.082,6.71738351720061,8.93590662542224,20.5818938766518
